DATE,DSPI
1959-01-01,351.5
1959-02-01,352.9
1959-03-01,355.2
1959-04-01,358.2
1959-05-01,360.3
1959-06-01,362.6
1959-07-01,362.8
1959-08-01,361.2
1959-09-01,362.3
1959-10-01,363.4
1959-11-01,366.3
1959-12-01,370.2
1960-01-01,370.8
1960-02-01,371.3
1960-03-01,371.9
1960-04-01,374.7
1960-05-01,376.0
1960-06-01,376.5
1960-07-01,377.7
1960-08-01,377.5
1960-09-01,378.3
1960-10-01,380.1
1960-11-01,379.8
1960-12-01,378.2
1961-01-01,381.9
1961-02-01,383.8
1961-03-01,385.2
1961-04-01,385.8
1961-05-01,389.2
1961-06-01,393.3
1961-07-01,395.5
1961-08-01,395.9
1961-09-01,396.7
1961-10-01,400.8
1961-11-01,404.6
1961-12-01,407.1
1962-01-01,406.9
1962-02-01,409.8
1962-03-01,413.1
1962-04-01,415.4
1962-05-01,415.9
1962-06-01,416.2
1962-07-01,417.8
1962-08-01,418.8
1962-09-01,421.0
1962-10-01,422.6
1962-11-01,424.1
1962-12-01,425.9
1963-01-01,430.0
1963-02-01,427.9
1963-03-01,429.4
1963-04-01,431.1
1963-05-01,433.5
1963-06-01,436.6
1963-07-01,438.0
1963-08-01,440.3
1963-09-01,443.5
1963-10-01,447.0
1963-11-01,448.5
1963-12-01,452.8
1964-01-01,455.3
1964-02-01,457.4
1964-03-01,468.5
1964-04-01,471.4
1964-05-01,473.9
1964-06-01,476.2
1964-07-01,479.0
1964-08-01,481.5
1964-09-01,484.2
1964-10-01,484.3
1964-11-01,488.1
1964-12-01,493.5
1965-01-01,495.0
1965-02-01,495.4
1965-03-01,497.7
1965-04-01,499.0
1965-05-01,505.6
1965-06-01,507.8
1965-07-01,513.5
1965-08-01,516.2
1965-09-01,529.9
1965-10-01,527.5
1965-11-01,532.1
1965-12-01,536.3
1966-01-01,537.2
1966-02-01,541.7
1966-03-01,545.2
1966-04-01,545.0
1966-05-01,546.5
1966-06-01,550.2
1966-07-01,553.1
1966-08-01,558.1
1966-09-01,563.2
1966-10-01,566.5
1966-11-01,570.0
1966-12-01,570.7
1967-01-01,576.6
1967-02-01,578.4
1967-03-01,583.0
1967-04-01,583.8
1967-05-01,586.1
1967-06-01,590.2
1967-07-01,594.5
1967-08-01,598.5
1967-09-01,600.2
1967-10-01,602.8
1967-11-01,608.5
1967-12-01,610.5
1968-01-01,616.7
1968-02-01,623.6
1968-03-01,631.6
1968-04-01,635.7
1968-05-01,640.7
1968-06-01,645.6
1968-07-01,646.3
1968-08-01,649.8
1968-09-01,652.1
1968-10-01,657.3
1968-11-01,662.0
1968-12-01,665.7
1969-01-01,667.1
1969-02-01,668.9
1969-03-01,673.3
1969-04-01,675.3
1969-05-01,685.7
1969-06-01,693.9
1969-07-01,701.8
1969-08-01,708.1
1969-09-01,712.6
1969-10-01,716.7
1969-11-01,721.0
1969-12-01,725.7
1970-01-01,732.1
1970-02-01,737.4
1970-03-01,742.0
1970-04-01,753.8
1970-05-01,753.1
1970-06-01,756.6
1970-07-01,770.2
1970-08-01,774.6
1970-09-01,777.3
1970-10-01,778.6
1970-11-01,780.5
1970-12-01,787.5
1971-01-01,801.3
1971-02-01,804.7
1971-03-01,810.0
1971-04-01,814.9
1971-05-01,821.6
1971-06-01,842.6
1971-07-01,833.2
1971-08-01,838.5
1971-09-01,844.7
1971-10-01,848.8
1971-11-01,852.5
1971-12-01,860.2
1972-01-01,859.4
1972-02-01,868.0
1972-03-01,872.9
1972-04-01,873.9
1972-05-01,882.2
1972-06-01,886.4
1972-07-01,896.0
1972-08-01,907.0
1972-09-01,914.6
1972-10-01,938.6
1972-11-01,951.8
1972-12-01,959.2
1973-01-01,957.1
1973-02-01,969.3
1973-03-01,979.7
1973-04-01,988.3
1973-05-01,995.0
1973-06-01,1003.7
1973-07-01,1009.8
1973-08-01,1018.1
1973-09-01,1027.4
1973-10-01,1042.3
1973-11-01,1052.5
1973-12-01,1057.3
1974-01-01,1059.6
1974-02-01,1063.9
1974-03-01,1068.6
1974-04-01,1075.3
1974-05-01,1084.8
1974-06-01,1091.8
1974-07-01,1104.1
1974-08-01,1114.1
1974-09-01,1124.5
1974-10-01,1136.2
1974-11-01,1138.6
1974-12-01,1147.8
1975-01-01,1154.2
1975-02-01,1161.1
1975-03-01,1166.0
1975-04-01,1191.4
1975-05-01,1265.1
1975-06-01,1230.2
1975-07-01,1221.6
1975-08-01,1235.1
1975-09-01,1244.2
1975-10-01,1256.7
1975-11-01,1263.8
1975-12-01,1272.0
1976-01-01,1285.2
1976-02-01,1294.9
1976-03-01,1300.7
1976-04-01,1305.4
1976-05-01,1311.7
1976-06-01,1318.7
1976-07-01,1332.9
1976-08-01,1343.0
1976-09-01,1350.8
1976-10-01,1355.5
1976-11-01,1374.0
1976-12-01,1386.9
1977-01-01,1392.2
1977-02-01,1390.7
1977-03-01,1417.2
1977-04-01,1427.7
1977-05-01,1435.2
1977-06-01,1449.2
1977-07-01,1466.1
1977-08-01,1478.9
1977-09-01,1492.6
1977-10-01,1510.4
1977-11-01,1531.2
1977-12-01,1545.0
1978-01-01,1547.4
1978-02-01,1563.8
1978-03-01,1587.1
1978-04-01,1604.6
1978-05-01,1615.1
1978-06-01,1625.7
1978-07-01,1642.8
1978-08-01,1658.1
1978-09-01,1668.0
1978-10-01,1685.8
1978-11-01,1697.0
1978-12-01,1713.4
1979-01-01,1734.7
1979-02-01,1751.1
1979-03-01,1769.5
1979-04-01,1773.4
1979-05-01,1783.4
1979-06-01,1793.4
1979-07-01,1820.2
1979-08-01,1836.7
1979-09-01,1851.2
1979-10-01,1865.2
1979-11-01,1883.3
1979-12-01,1903.0
1980-01-01,1936.3
1980-02-01,1946.8
1980-03-01,1958.3
1980-04-01,1966.3
1980-05-01,1974.3
1980-06-01,1991.1
1980-07-01,2024.3
1980-08-01,2043.4
1980-09-01,2071.2
1980-10-01,2104.3
1980-11-01,2124.7
1980-12-01,2148.5
1981-01-01,2160.8
1981-02-01,2175.9
1981-03-01,2197.3
1981-04-01,2200.7
1981-05-01,2214.9
1981-06-01,2235.8
1981-07-01,2284.8
1981-08-01,2305.9
1981-09-01,2315.9
1981-10-01,2329.4
1981-11-01,2343.3
1981-12-01,2347.4
1982-01-01,2364.4
1982-02-01,2377.9
1982-03-01,2383.6
1982-04-01,2408.4
1982-05-01,2412.5
1982-06-01,2416.7
1982-07-01,2452.9
1982-08-01,2464.2
1982-09-01,2469.9
1982-10-01,2480.8
1982-11-01,2497.7
1982-12-01,2513.1
1983-01-01,2533.1
1983-02-01,2538.1
1983-03-01,2553.3
1983-04-01,2570.4
1983-05-01,2582.8
1983-06-01,2594.4
1983-07-01,2642.0
1983-08-01,2648.3
1983-09-01,2677.0
1983-10-01,2705.8
1983-11-01,2733.3
1983-12-01,2759.7
1984-01-01,2784.7
1984-02-01,2820.3
1984-03-01,2848.3
1984-04-01,2878.9
1984-05-01,2887.0
1984-06-01,2911.4
1984-07-01,2925.6
1984-08-01,2954.6
1984-09-01,2979.6
1984-10-01,2975.5
1984-11-01,2992.5
1984-12-01,3019.2
1985-01-01,3033.3
1985-02-01,3019.2
1985-03-01,3016.9
1985-04-01,3071.4
1985-05-01,3153.7
1985-06-01,3095.8
1985-07-01,3110.0
1985-08-01,3118.0
1985-09-01,3136.6
1985-10-01,3157.4
1985-11-01,3171.4
1985-12-01,3201.1
1986-01-01,3221.5
1986-02-01,3238.2
1986-03-01,3264.2
1986-04-01,3269.9
1986-05-01,3279.2
1986-06-01,3288.9
1986-07-01,3307.0
1986-08-01,3316.1
1986-09-01,3330.0
1986-10-01,3334.0
1986-11-01,3342.0
1986-12-01,3352.3
1987-01-01,3380.9
1987-02-01,3410.7
1987-03-01,3424.1
1987-04-01,3307.8
1987-05-01,3450.6
1987-06-01,3459.1
1987-07-01,3476.7
1987-08-01,3505.1
1987-09-01,3517.0
1987-10-01,3550.8
1987-11-01,3571.4
1987-12-01,3610.0
1988-01-01,3631.6
1988-02-01,3658.2
1988-03-01,3685.7
1988-04-01,3716.4
1988-05-01,3732.4
1988-06-01,3762.2
1988-07-01,3796.3
1988-08-01,3818.3
1988-09-01,3844.3
1988-10-01,3877.4
1988-11-01,3887.7
1988-12-01,3919.1
1989-01-01,3956.1
1989-02-01,3981.0
1989-03-01,4016.0
1989-04-01,4022.0
1989-05-01,4018.2
1989-06-01,4038.4
1989-07-01,4062.3
1989-08-01,4073.6
1989-09-01,4094.9
1989-10-01,4131.2
1989-11-01,4144.2
1989-12-01,4156.3
1990-01-01,4212.4
1990-02-01,4239.8
1990-03-01,4256.9
1990-04-01,4293.2
1990-05-01,4297.7
1990-06-01,4322.9
1990-07-01,4348.7
1990-08-01,4350.0
1990-09-01,4374.6
1990-10-01,4363.6
1990-11-01,4370.2
1990-12-01,4399.4
1991-01-01,4403.5
1991-02-01,4411.8
1991-03-01,4419.8
1991-04-01,4445.1
1991-05-01,4464.3
1991-06-01,4495.1
1991-07-01,4493.4
1991-08-01,4514.5
1991-09-01,4542.6
1991-10-01,4558.0
1991-11-01,4575.3
1991-12-01,4628.7
1992-01-01,4681.1
1992-02-01,4714.5
1992-03-01,4731.1
1992-04-01,4758.1
1992-05-01,4787.2
1992-06-01,4816.3
1992-07-01,4829.0
1992-08-01,4852.8
1992-09-01,4838.3
1992-10-01,4824.4
1992-11-01,4841.3
1992-12-01,5022.5
1993-01-01,4924.9
1993-02-01,4955.7
1993-03-01,4950.4
1993-04-01,4989.3
1993-05-01,4997.5
1993-06-01,4990.1
1993-07-01,5010.6
1993-08-01,5026.5
1993-09-01,5018.0
1993-10-01,5009.2
1993-11-01,5032.6
1993-12-01,5205.3
1994-01-01,5109.4
1994-02-01,5131.1
1994-03-01,5162.3
1994-04-01,5168.6
1994-05-01,5235.8
1994-06-01,5240.3
1994-07-01,5261.2
1994-08-01,5279.4
1994-09-01,5308.3
1994-10-01,5367.9
1994-11-01,5378.0
1994-12-01,5406.0
1995-01-01,5434.5
1995-02-01,5455.1
1995-03-01,5480.3
1995-04-01,5454.1
1995-05-01,5517.8
1995-06-01,5539.8
1995-07-01,5559.2
1995-08-01,5574.9
1995-09-01,5597.0
1995-10-01,5617.9
1995-11-01,5633.2
1995-12-01,5651.7
1996-01-01,5672.0
1996-02-01,5724.9
1996-03-01,5760.7
1996-04-01,5743.3
1996-05-01,5826.2
1996-06-01,5861.3
1996-07-01,5858.4
1996-08-01,5879.0
1996-09-01,5909.5
1996-10-01,5927.0
1996-11-01,5953.8
1996-12-01,5981.0
1997-01-01,6006.0
1997-02-01,6035.3
1997-03-01,6070.4
1997-04-01,6081.0
1997-05-01,6104.8
1997-06-01,6132.3
1997-07-01,6159.1
1997-08-01,6196.1
1997-09-01,6227.3
1997-10-01,6266.3
1997-11-01,6307.1
1997-12-01,6342.1
1998-01-01,6401.0
1998-02-01,6438.1
1998-03-01,6476.1
1998-04-01,6504.5
1998-05-01,6540.0
1998-06-01,6571.5
1998-07-01,6599.4
1998-08-01,6629.9
1998-09-01,6645.6
1998-10-01,6669.7
1998-11-01,6697.6
1998-12-01,6717.3
1999-01-01,6754.9
1999-02-01,6775.8
1999-03-01,6788.0
1999-04-01,6806.1
1999-05-01,6822.5
1999-06-01,6847.1
1999-07-01,6872.9
1999-08-01,6915.9
1999-09-01,6935.8
1999-10-01,6990.9
1999-11-01,7047.4
1999-12-01,7121.8
2000-01-01,7198.1
2000-02-01,7248.9
2000-03-01,7298.4
2000-04-01,7325.0
2000-05-01,7358.8
2000-06-01,7401.1
2000-07-01,7455.6
2000-08-01,7495.5
2000-09-01,7528.7
2000-10-01,7549.6
2000-11-01,7556.4
2000-12-01,7579.1
2001-01-01,7658.4
2001-02-01,7682.3
2001-03-01,7705.5
2001-04-01,7698.3
2001-05-01,7700.9
2001-06-01,7714.9
2001-07-01,7826.1
2001-08-01,7959.9
2001-09-01,7875.5
2001-10-01,7781.1
2001-11-01,7793.9
2001-12-01,7801.7
2002-01-01,7962.4
2002-02-01,7981.9
2002-03-01,8003.6
2002-04-01,8066.8
2002-05-01,8099.5
2002-06-01,8127.2
2002-07-01,8117.7
2002-08-01,8127.8
2002-09-01,8145.4
2002-10-01,8183.1
2002-11-01,8215.6
2002-12-01,8250.3
2003-01-01,8273.0
2003-02-01,8284.0
2003-03-01,8324.2
2003-04-01,8351.1
2003-05-01,8403.6
2003-06-01,8436.3
2003-07-01,8561.9
2003-08-01,8645.9
2003-09-01,8567.0
2003-10-01,8599.4
2003-11-01,8664.7
2003-12-01,8697.0
2004-01-01,8725.1
2004-02-01,8760.8
2004-03-01,8811.1
2004-04-01,8864.1
2004-05-01,8941.5
2004-06-01,8974.9
2004-07-01,9002.1
2004-08-01,9033.3
2004-09-01,9055.7
2004-10-01,9100.5
2004-11-01,9111.8
2004-12-01,9455.1
2005-01-01,9127.3
2005-02-01,9156.1
2005-03-01,9215.2
2005-04-01,9269.0
2005-05-01,9316.0
2005-06-01,9341.7
2005-07-01,9383.8
2005-08-01,9433.4
2005-09-01,9491.5
2005-10-01,9575.5
2005-11-01,9634.6
2005-12-01,9685.4
2006-01-01,9831.0
2006-02-01,9870.6
2006-03-01,9905.6
2006-04-01,9943.0
2006-05-01,9963.4
2006-06-01,10011.9
2006-07-01,10039.2
2006-08-01,10068.0
2006-09-01,10105.0
2006-10-01,10132.2
2006-11-01,10175.3
2006-12-01,10251.8
2007-01-01,10298.0
2007-02-01,10369.9
2007-03-01,10442.7
2007-04-01,10463.9
2007-05-01,10486.7
2007-06-01,10492.5
2007-07-01,10518.2
2007-08-01,10532.8
2007-09-01,10597.5
2007-10-01,10610.8
2007-11-01,10653.6
2007-12-01,10717.0
2008-01-01,10756.3
2008-02-01,10777.1
2008-03-01,10806.1
2008-04-01,10785.7
2008-05-01,11353.3
2008-06-01,11131.6
2008-07-01,11003.7
2008-08-01,10931.5
2008-09-01,10973.8
2008-10-01,10965.9
2008-11-01,10922.4
2008-12-01,10809.1
2009-01-01,10851.4
2009-02-01,10761.3
2009-03-01,10749.0
2009-04-01,10862.6
2009-05-01,11055.9
2009-06-01,10937.7
2009-07-01,10887.7
2009-08-01,10891.4
2009-09-01,10930.0
2009-10-01,10924.8
2009-11-01,10982.0
2009-12-01,11046.9
2010-01-01,11070.1
2010-02-01,11066.2
2010-03-01,11116.0
2010-04-01,11213.1
2010-05-01,11305.7
2010-06-01,11319.4
2010-07-01,11347.8
2010-08-01,11395.9
2010-09-01,11395.4
2010-10-01,11445.7
2010-11-01,11492.6
2010-12-01,11600.0
2011-01-01,11686.0
2011-02-01,11748.7
2011-03-01,11760.3
2011-04-01,11787.8
2011-05-01,11811.6
2011-06-01,11864.9
2011-07-01,11921.4
2011-08-01,11937.2
2011-09-01,11933.2
2011-10-01,11955.3
2011-11-01,11977.6
2011-12-01,12093.0
2012-01-01,12226.4
2012-02-01,12329.7
2012-03-01,12395.9
2012-04-01,12460.5
2012-05-01,12456.2
2012-06-01,12460.6
2012-07-01,12376.9
2012-08-01,12370.7
2012-09-01,12468.8
2012-10-01,12599.7
2012-11-01,12769.1
2012-12-01,13092.9
2013-01-01,12361.9
2013-02-01,12344.6
2013-03-01,12347.2
2013-04-01,12386.5
2013-05-01,12465.5
2013-06-01,12505.5
2013-07-01,12507.5
2013-08-01,12553.9
2013-09-01,12609.9
2013-10-01,12597.1
2013-11-01,12656.2
2013-12-01,12720.8
2014-01-01,12805.3
2014-02-01,12891.1
2014-03-01,12987.0
2014-04-01,13060.1
2014-05-01,13131.0
2014-06-01,13205.9
2014-07-01,13266.4
2014-08-01,13326.9
2014-09-01,13370.9
2014-10-01,13423.9
2014-11-01,13478.1
2014-12-01,13539.0
2015-01-01,13576.5
2015-02-01,13651.2
2015-03-01,13638.6
2015-04-01,13676.7
2015-05-01,13733.8
2015-06-01,13774.5
2015-07-01,13828.0
2015-08-01,13865.2
2015-09-01,13884.0
2015-10-01,13906.8
2015-11-01,13910.8
2015-12-01,13965.5
2016-01-01,14029.8
2016-02-01,14036.8
2016-03-01,14070.8
2016-04-01,14098.1
2016-05-01,14114.1
2016-06-01,14149.1
2016-07-01,14202.1
2016-08-01,14236.5
2016-09-01,14296.9
2016-10-01,14358.2
2016-11-01,14393.6
2016-12-01,14447.9
2017-01-01,14569.8
2017-02-01,14637.5
2017-03-01,14690.7
2017-04-01,14750.9
2017-05-01,14847.4
2017-06-01,14870.2
2017-07-01,14918.2
2017-08-01,14975.2
2017-09-01,15059.4
2017-10-01,15122.9
2017-11-01,15166.3
2017-12-01,15214.1
2018-01-01,15387.7
2018-02-01,15461.3
2018-03-01,15539.9
2018-04-01,15609.1
2018-05-01,15687.7
2018-06-01,15760.8
2018-07-01,15833.5
2018-08-01,15889.2
2018-09-01,15905.5
2018-10-01,15963.5
2018-11-01,15994.6
2018-12-01,16165.8
2019-01-01,16157.0
2019-02-01,16201.6
2019-03-01,16229.5
2019-04-01,16240.3
2019-05-01,16248.4
2019-06-01,16286.5
2019-07-01,16330.0
2019-08-01,16420.2
2019-09-01,16451.2
2019-10-01,16485.6
2019-11-01,16565.4
2019-12-01,16567.8
2020-01-01,16714.4
2020-02-01,16831.3
2020-03-01,16550.1
2020-04-01,19005.4
2020-05-01,18085.7
2020-06-01,17811.6
2020-07-01,17964.4
2020-08-01,17438.9
2020-09-01,17589.2
